ダウンロードした時刻：2025/04/21 18:39:30,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲,出雲
年,月,日,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),降水量の合計(mm),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,平年値(℃),平年値(℃),,,,平年値(mm),平年値(mm),,,,平年値(時間),平年値(時間),,,,平年値(℃),平年値(℃),,,,平年値(℃),平年値(℃)
,,,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報
2024,2,5,9.9,8,1,4.5,8,22,8,1,3.2,8,0,8,1,2.3,8,7.4,8,1,8.4,8,3,8,1,0.5,8
2024,2,6,9.9,8,1,4.6,8,2.5,8,1,3.3,8,1.9,8,1,2.4,8,8.1,8,1,8.4,8,4,8,1,0.5,8
2024,2,7,9.9,8,1,4.6,8,7,8,1,3.3,8,2.3,8,1,2.4,8,7.5,8,1,8.5,8,3.2,8,1,0.6,8
2024,2,8,9.9,8,1,4.7,8,1,8,1,3.3,8,5.3,8,1,2.4,8,9.2,8,1,8.6,8,1.9,8,1,0.6,8
2024,2,9,9.9,8,1,4.7,8,0,8,1,3.4,8,7.1,8,1,2.5,8,12.1,8,1,8.7,8,0.5,8,1,0.6,8
2024,2,10,9.9,8,1,4.8,8,6,8,1,3.4,8,1.5,8,1,2.5,8,9.5,8,1,8.8,8,2.7,8,1,0.7,8
2024,2,11,9.9,8,1,4.9,8,7.5,8,1,3.5,8,0.1,8,1,2.5,8,7.8,8,1,8.9,8,1.5,8,1,0.7,8
2024,2,12,9.9,8,1,4.9,8,0.5,8,1,3.5,8,6.4,8,1,2.6,8,11,8,1,9,8,-0.2,8,1,0.7,8
2024,2,13,9.9,8,1,4.9,8,0,8,1,3.5,8,10,8,1,2.6,8,15.4,8,1,9,8,-1.4,8,1,0.8,8
2024,2,14,9.9,8,1,5,8,0,8,1,3.6,8,2.5,8,1,2.7,8,20.7,8,1,9.1,8,11.7,8,1,0.8,8
2024,2,15,9.9,8,1,5,8,11,8,1,3.6,8,0.8,8,1,2.8,8,21.6,8,1,9.2,8,6.1,8,1,0.8,8
2024,2,16,9.9,8,1,5.1,8,1,8,1,3.6,8,0,8,1,2.8,8,7.6,8,1,9.3,8,-1.4,8,1,0.8,8
2024,2,17,9.9,8,1,5.1,8,0,8,1,3.6,8,9.9,8,1,2.9,8,11.3,8,1,9.4,8,-2.8,8,1,0.7,8
2024,2,18,9.9,8,1,5.2,8,0,8,1,3.7,8,10.2,8,1,3,8,20.8,8,1,9.5,8,-1.1,8,1,0.7,8
2024,2,19,9.9,8,1,5.2,8,3.5,8,1,3.7,8,0.7,8,1,3.1,8,19.5,8,1,9.6,8,8.6,8,1,0.7,8
2024,2,20,9.9,8,1,5.3,8,12,8,1,3.7,8,0,8,1,3.2,8,16.3,8,1,9.7,8,8,8,1,0.7,8
2024,2,21,9.9,8,1,5.4,8,14,8,1,3.7,8,0,8,1,3.3,8,8.9,8,1,9.9,8,7.1,8,1,0.8,8
